FM_num = 5
FM_indices (indexed from 0) = [4, 96, 431, 752, 1144]
Center_indices_list (indexed from 0, exact order) = [96, 752, 1144, 4, 431, 616, 156, 708, 408, 95, 494, 731, 228, 126, 330, 734, 420, 514, 414, 50]
PC_num = 27
Batch_size = 20
Learning_rate = 0.001
Num_epochs = 12000
Training_ratio = 0.8
Validation_ratio = 0.1
Repeat_training_iters = 3
----------------------------------------------------------
Combination		mean_max_nodal_error/mm		mean_mean_nodal_error/mm		elapsed_time/s
[32, 32]			0.5901				0.1650				747.2853
[32, 64]			0.5377				0.1501				732.0807
[32, 128]			0.5144				0.1437				788.8770
[32, 256]			0.5742				0.1620				1060.4613
[64, 32]			0.6341				0.1750				742.4038
[64, 64]			0.5276				0.1506				796.1331
[64, 128]			0.5498				0.1502				973.9671
[64, 256]			0.5723				0.1587				1244.0559
[128, 32]			0.8932				0.2583				815.5827
[128, 64]			0.5334				0.1455				1021.8627
[128, 128]			0.5385				0.1468				1255.3446
[128, 256]			0.5750				0.1574				1702.5756
[256, 32]			0.8038				0.2378				995.7133
[256, 64]			0.5154				0.1464				1255.4166
[256, 128]			0.5615				0.1491				1693.8274
[256, 256]			0.5822				0.1561				2668.2292
[32, 32, 32]		0.6070				0.1679				838.9587
[32, 32, 64]		0.6322				0.1681				879.8820
[32, 32, 128]		0.6596				0.1726				945.3307
[32, 32, 256]		0.6857				0.1850				1366.5806
[32, 64, 32]		0.6585				0.1804				901.2435
[32, 64, 64]		0.5800				0.1632				974.9354
[32, 64, 128]		0.5982				0.1670				1219.7855
[32, 64, 256]		0.7104				0.1820				1542.1536
[32, 128, 32]		0.7004				0.1813				988.5621
[32, 128, 64]		0.5825				0.1589				1407.1903
[32, 128, 128]		0.6149				0.1652				1635.5516
[32, 128, 256]		0.6640				0.1801				2056.8677
[32, 256, 32]		0.7999				0.2345				1419.0947
[32, 256, 64]		0.6440				0.1754				1593.4181
[32, 256, 128]		0.6401				0.1688				2201.9081
[32, 256, 256]		0.6734				0.1793				3049.2602
[64, 32, 32]		0.6190				0.1689				875.7928
[64, 32, 64]		0.6365				0.1835				924.9249
[64, 32, 128]		0.6206				0.1646				993.1887
[64, 32, 256]		0.6282				0.1673				1374.5750
[64, 64, 32]		0.6061				0.1619				946.7330
[64, 64, 64]		0.5812				0.1593				1001.8887
[64, 64, 128]		0.5787				0.1594				1372.6994
[64, 64, 256]		0.6103				0.1725				1657.4106
[64, 128, 32]		0.7493				0.2187				1295.5598
[64, 128, 64]		0.5765				0.1640				1419.4611
[64, 128, 128]		0.6338				0.1734				1695.1778
[64, 128, 256]		0.6527				0.1783				2175.1864
[64, 256, 32]		0.7455				0.2085				1645.3687
[64, 256, 64]		0.6148				0.1667				1835.3412
[64, 256, 128]		0.6115				0.1660				2490.3219
[64, 256, 256]		0.6744				0.1809				3256.5172
[128, 32, 32]		0.7157				0.1830				940.6662
[128, 32, 64]		0.5907				0.1652				1003.4869
[128, 32, 128]		0.5837				0.1641				1041.8009
[128, 32, 256]		0.6730				0.1740				1403.1618
[128, 64, 32]		0.6141				0.1656				1165.1101
[128, 64, 64]		0.5348				0.1481				1285.3423
[128, 64, 128]		0.5915				0.1621				1425.8697
[128, 64, 256]		0.6390				0.1707				1761.9363
[128, 128, 32]		0.6535				0.1712				1551.2866
[128, 128, 64]		0.5742				0.1615				1685.7017
[128, 128, 128]		0.6147				0.1676				1931.3192
[128, 128, 256]		0.6706				0.1751				2537.7581
[128, 256, 32]		0.7494				0.2092				2035.4387
[128, 256, 64]		0.5905				0.1669				2242.0276
[128, 256, 128]		0.6288				0.1777				2800.4029
[128, 256, 256]		0.6845				0.1786				3933.6877
[256, 32, 32]		0.8709				0.2236				1239.7598
[256, 32, 64]		0.6705				0.1819				1256.0587
[256, 32, 128]		0.7874				0.2017				1378.7408
[256, 32, 256]		0.7163				0.1955				1614.2229
[256, 64, 32]		0.6008				0.1675				1452.3900
[256, 64, 64]		0.5745				0.1626				1547.4630
[256, 64, 128]		0.5966				0.1683				1709.3284
[256, 64, 256]		0.6434				0.1773				2136.7765
[256, 128, 32]		0.6515				0.1908				1937.7713
[256, 128, 64]		0.5954				0.1632				2070.0920
[256, 128, 128]		0.6146				0.1648				2549.7063
[256, 128, 256]		0.6626				0.1801				3201.9632
[256, 256, 32]		0.7126				0.2077				2908.5451
[256, 256, 64]		0.6101				0.1705				3114.4877
[256, 256, 128]		0.6799				0.1811				3650.6618
[256, 256, 256]		0.6590				0.1731				5022.8136
----------------------------------------------------------
Total time spent: 110.0087 hrs
